,Prompt-1,Prompt-2,Prompt-3,Prompt-4,Prompt-5,Prompt-6,Prompt-7,Prompt-8
BERT + LR (Features),0.509,0.445,0.368,0.58,0.649,0.6409999999999999,0.35100000000000003,0.359
BERT + RF (Features),0.7709999999999999,0.644,0.711,0.759,0.81,0.7440000000000001,0.667,0.534
BERT + Adaboost (Features),0.659,0.644,0.649,0.725,0.7040000000000001,0.609,0.496,0.5579999999999999
BERT + KNN (Features),0.354,0.281,0.133,0.258,0.37200000000000005,0.54,0.187,0.213
BERT + SVC (Features),0.318,0.423,0.617,0.528,0.537,0.37,0.381,0.0
DeBERTa + LR,0.795,0.636,0.652,0.76,0.804,0.721,0.7140000000000001,0.555
DeBERTa + RF,0.7859999999999999,0.6,0.693,0.742,0.825,0.7190000000000001,0.7070000000000001,0.449
DeBERTa + Adaboost,0.49700000000000005,0.537,0.613,0.725,0.746,0.59,0.499,0.36700000000000005
DeBERTa + KNN,0.76,0.5710000000000001,0.618,0.6920000000000001,0.807,0.685,0.541,0.363
DeBERTa + SVC,0.754,0.599,0.682,0.6970000000000001,0.8320000000000001,0.6509999999999999,0.507,0.452
distilBERT + LSTM,0.7808471454880295,0.664728944166554,0.6276525924305404,0.7198237065085821,0.7666058523451892,0.6442650351635182,0.6820086986634732,0.0
distilBERT + biLSTM,0.7987637362637363,0.6669523692910493,0.6532494989154609,0.6967226533084503,0.7990595318142754,0.6843284976028889,0.7025142565052793,0.4642971222812673
distilBERT + CNN,0.7357310964938748,0.6515503484496517,0.6786807208432506,0.6740129128383412,0.7570090722856306,0.6699650234671609,0.6348819348008996,0.3833792978500685
distilBERT + LR,0.7990518554079498,0.6907351592189752,0.7021186113044151,0.7372272062098365,0.7863368964775092,0.6912893536544666,0.6416495837767153,0.5347549803126583
distilBERT + RF,0.7851856699552254,0.6834076845589294,0.7009345794392523,0.7515275154771403,0.7909868648461804,0.7390052198956021,0.6613813970176421,0.4883309295922381
distilBERT + Adaboost,0.6473321323991986,0.5967038585305704,0.6332110902727175,0.7028604980028613,0.6119064598878114,0.6203732995887378,0.4780517182102832,0.4547963097526652
distilBERT + KNN,0.7392890343414136,0.5484284797947403,0.5150060342426693,0.5882958358205883,0.6512142100667027,0.5902623007028973,0.4524593108212699,0.4506313163563298
distilBERT + SVC,0.7184127761351438,0.6079889514501222,0.6781033029400219,0.6423883443974551,0.6525307407976946,0.529616724738676,0.28642966332687314,0.0
GPT-2 + LSTM,0.7797129719938694,0.6099589889764695,0.6897157557884168,0.6548484311292324,0.7529111628651176,0.5999532109018599,0.5902340780501139,0.0
GPT-2 + biLSTM,0.7978473391561376,0.6328626444159178,0.6979023720839052,0.6775261155011265,0.8039575060245053,0.6420290674659277,0.6660545989270289,0.4127196589372413
GPT-2 + CNN,0.4501922112652516,0.0,0.0,0.0,0.0,0.0,0.3960535905198845,0.3289968432278102
GPT-2 + LR,0.6766480629145073,0.4835007173601148,0.7094022277477915,0.7060247308669982,0.7939219368923789,0.6453391872356373,0.5874321888705123,0.18435663046111408
GPT-2 + RF,0.7861079786627472,0.6934145804272813,0.6936816953268832,0.7380131590255827,0.8125395460872828,0.6947360442642211,0.6704121599236983,0.5946645234787125
GPT-2 + Adaboost,0.654312188168211,0.6333182435491173,0.6161642638706859,0.7635692928979149,0.7298402929026152,0.6508702572264722,0.5868345849607364,0.4626246496639654
GPT-2 + KNN,0.7547545249301649,0.5551161641127039,0.5972743766085821,0.6484624942520865,0.7166507280633696,0.5720061609549479,0.4916071399565112,0.3647568051996768
GPT-2 + SVC,0.22092970169559625,0.22569852428653936,0.0,0.0,0.0,0.0,0.0,0.0
GPT-2 + LR (Features),0.6459999999999999,0.578,0.495,0.7,0.721,0.7090000000000001,0.522,0.423
GPT-2 + RF (Features),0.802,0.648,0.7070000000000001,0.746,0.8140000000000001,0.703,0.662,0.536
GPT-2 + Adaboost (Features),0.648,0.605,0.604,0.7,0.664,0.609,0.555,0.58
GPT-2 + KNN (Features),0.285,0.308,0.11900000000000001,0.231,0.384,0.542,0.187,0.215
GPT-2 + SVC (Features),0.09,0.385,0.49200000000000005,0.483,0.355,0.0,0.145,0.0
